Country,ME2010,ME2011,ME2012,ME2013,ME2014,ME2015,%ME2010,%ME2011,%ME2012,%ME2013,%ME2014,%ME2015
United States,"698,180","711,338","684,780","639,704","609,914","596,024",0.04666,0.04584,0.04239,0.03839,0.03516,0.03317
China,"115,701","137,967","157,460","177,848","199,651","214,787",0.01927,0.01854,0.01859,0.01868,0.01914,0.01918
France,"61,782","64,601","60,035","62,417","63,614","50,860",0.02336,0.02258,0.02240,0.02220,0.02247,0.02105
Russia,"58,720","70,238","81,469","88,353","84,697","66,421",0.03816,0.03666,0.03993,0.04199,0.04522,0.05387
United Kingdom,"58,083","50,270","58,496","56,962","59,183","55,460",0.02412,0.02325,0.02237,0.02123,0.02006,0.01956
Japan,"54,655","60,762","60,012","49,024","45,867","40,885",0.00995,0.01029,0.01008,0.00997,0.00997,0.00990
Germany,"46,256","48,140","46,471","45,931","46,103","39,393",0.01356,0.01283,0.01315,0.01231,0.01197,0.01177
India,"46,090","49,634","47,217","47,404","50,014","51,257",0.02707,0.02571,0.02526,0.02448,0.02478,0.02329
Saudi Arabia,"45,245","48,531","56,498","67,020","80,726","87,186",0.08588,0.07249,0.07698,0.09004,0.10733,0.13680
Italy,"36,032","38,130","33,733","33,892","31,571","23,840",0.01694,0.01674,0.01626,0.01586,0.01472,0.01315
Brazil,"34,003","36,936","33,987","32,875","32,660","24,584",0.01587,0.01491,0.01508,0.01463,0.01392,0.01401
South Korea,"28,175","30,992","31,952","34,354","37,386","36,435",0.02574,0.02577,0.02613,0.02631,0.02644,0.02639
Australia,"23,218","26,597","26,217","24,825","25,784","23,588",0.01865,0.01773,0.01686,0.01658,0.01787,0.01918
Spain,"19,711","19,695","18,861","17,243","17,051","14,104",0.01377,0.01318,0.01391,0.01238,0.01214,0.01158
