Country,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop2015
United States,309349689,311050977,313847465,320050716,318686331 ,325127634 
China,1339724852,1336718015,1343239923,1385566537,1382710000 ,1401586609 
France,62791013,65102719,65630692,64291280,65821000 ,64982894 
Russia,142849472,138739892,138082178,142833689,144498215 ,142098141 
United Kingdom,62026962,62698362,63047162,63136265,64126179 ,63843856 
Japan,128056000,127469543,127368088,127143577,127052765 ,126818019 
Germany,81802257,81471834,81305856,82726626,82678629 ,82562004 
India,1182105000,1189172906,1205073612,1252139596,1271702542 ,1282390303 
Saudi Arabia,27136977,26131703,26534504,28828870,30776213 ,29897741 
Italy,60340328,61016804,61261254,60990277,59788000 ,61142221 
Brazil,193252604,203429773,205716890,200361925,193364000 ,203657210 
South Korea,49410366,48754657,48860500,49262698,50402639 ,49750234 
Australia,22299800,21766711,22015576,23342553,23480970 ,23923101 
Spain,45989016,46754784,47042984,46926963,46778126 ,47199069 
